Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709312921,32,,Aggregated,7.100000,0.000000,6,6,7,8,8,9,9,11,11,11,11,110,0,6,7.225852681883473,2.9223749988886993,65.39629199687624,69.2090909090909
1709312922,34,POST,//query,8.200000,0.000000,6,7,7,8,8,9,10,11,11,11,11,127,0,6,7.1277575748461555,2.9223749988886993,65.39629199687624,69.29133858267717
1709312922,34,,Aggregated,8.200000,0.000000,6,7,7,8,8,9,10,11,11,11,11,127,0,6,7.1277575748461555,2.9223749988886993,65.39629199687624,69.29133858267717
1709312923,36,POST,//query,8.800000,0.000000,6,7,7,7,8,9,10,10,11,11,11,139,0,6,7.056034215866871,2.9223749988886993,65.39629199687624,69.31654676258992
1709312923,36,,Aggregated,8.800000,0.000000,6,7,7,7,8,9,10,10,11,11,11,139,0,6,7.056034215866871,2.9223749988886993,65.39629199687624,69.31654676258992
1709312924,38,POST,//query,10.000000,0.000000,6,7,7,7,9,10,10,10,11,11,11,152,0,6,6.969286486908363,2.9223749988886993,65.39629199687624,69.13815789473684
1709312924,38,,Aggregated,10.000000,0.000000,6,7,7,7,9,10,10,10,11,11,11,152,0,6,6.969286486908363,2.9223749988886993,65.39629199687624,69.13815789473684
1709312925,40,POST,//query,10.300000,0.000000,6,7,7,7,9,10,10,10,11,11,11,162,0,6,6.908424148234729,2.9223749988886993,65.39629199687624,68.93827160493827
1709312925,40,,Aggregated,10.300000,0.000000,6,7,7,7,9,10,10,10,11,11,11,162,0,6,6.908424148234729,2.9223749988886993,65.39629199687624,68.93827160493827
1709312926,42,POST,//query,11.000000,0.000000,6,7,7,8,8,10,10,10,11,11,11,178,0,6,6.88477107871038,2.9223749988886993,65.39629199687624,68.70224719101124
1709312926,42,,Aggregated,11.000000,0.000000,6,7,7,8,8,10,10,10,11,11,11,178,0,6,6.88477107871038,2.9223749988886993,65.39629199687624,68.70224719101124
1709312927,44,POST,//query,11.400000,0.000000,6,7,7,8,9,9,10,10,10,10,10,197,0,6,6.900954543202785,2.9223749988886993,65.39629199687624,68.53807106598985
1709312927,44,,Aggregated,11.400000,0.000000,6,7,7,8,9,9,10,10,10,10,10,197,0,6,6.900954543202785,2.9223749988886993,65.39629199687624,68.53807106598985
1709312928,46,POST,//query,11.900000,0.000000,6,7,8,8,9,10,10,10,10,10,10,211,0,6,6.938672412370449,2.9223749988886993,65.39629199687624,68.60189573459715
1709312928,46,,Aggregated,11.900000,0.000000,6,7,8,8,9,10,10,10,10,10,10,211,0,6,6.938672412370449,2.9223749988886993,65.39629199687624,68.60189573459715
1709312929,48,POST,//query,11.900000,0.000000,7,7,8,8,9,10,10,10,10,10,10,230,0,6,6.9201983957495745,2.9223749988886993,65.39629199687624,68.55217391304348
1709312929,48,,Aggregated,11.900000,0.000000,7,7,8,8,9,10,10,10,10,10,10,230,0,6,6.9201983957495745,2.9223749988886993,65.39629199687624,68.55217391304348
1709312930,50,POST,//query,13.200000,0.000000,7,7,8,8,9,10,10,10,10,10,10,245,0,6,6.918674008282286,2.9223749988886993,65.39629199687624,68.57551020408164
1709312930,50,,Aggregated,13.200000,0.000000,7,7,8,8,9,10,10,10,10,10,10,245,0,6,6.918674008282286,2.9223749988886993,65.39629199687624,68.57551020408164
1709312931,52,POST,//query,14.100000,0.000000,7,7,8,8,9,10,10,23,24,24,24,262,0,6,7.04859829782866,2.9223749988886993,65.39629199687624,68.7824427480916
1709312931,52,,Aggregated,14.100000,0.000000,7,7,8,8,9,10,10,23,24,24,24,262,0,6,7.04859829782866,2.9223749988886993,65.39629199687624,68.7824427480916
1709312932,54,POST,//query,14.400000,0.000000,7,7,8,8,9,10,11,23,24,24,24,281,0,6,7.02838614246716,2.9223749988886993,65.39629199687624,68.74733096085409
1709312932,54,,Aggregated,14.400000,0.000000,7,7,8,8,9,10,11,23,24,24,24,281,0,6,7.02838614246716,2.9223749988886993,65.39629199687624,68.74733096085409
1709312933,56,POST,//query,14.900000,0.000000,7,8,8,8,9,10,15,23,24,24,24,296,0,6,7.080543790650424,2.9223749988886993,65.39629199687624,68.85472972972973
1709312933,56,,Aggregated,14.900000,0.000000,7,8,8,8,9,10,15,23,24,24,24,296,0,6,7.080543790650424,2.9223749988886993,65.39629199687624,68.85472972972973
1709312934,58,POST,//query,15.000000,0.000000,7,8,8,8,9,10,11,23,24,24,24,316,0,7,7.094058158318033,2.9223749988886993,65.39629199687624,68.76898734177215
1709312934,58,,Aggregated,15.000000,0.000000,7,8,8,8,9,10,11,23,24,24,24,316,0,7,7.094058158318033,2.9223749988886993,65.39629199687624,68.76898734177215
1709312935,60,POST,//query,15.600000,0.000000,7,8,8,8,9,10,14,23,24,24,24,337,0,7,7.15469622263669,2.9223749988886993,65.39629199687624,68.7299703264095
1709312935,60,,Aggregated,15.600000,0.000000,7,8,8,8,9,10,14,23,24,24,24,337,0,7,7.15469622263669,2.9223749988886993,65.39629199687624,68.7299703264095
1709312936,62,POST,//query,16.400000,0.000000,7,8,8,8,9,11,14,23,24,24,24,356,0,7,7.129573160189343,2.9223749988886993,65.39629199687624,68.64887640449439
1709312936,62,,Aggregated,16.400000,0.000000,7,8,8,8,9,11,14,23,24,24,24,356,0,7,7.129573160189343,2.9223749988886993,65.39629199687624,68.64887640449439
1709312937,64,POST,//query,16.800000,0.000000,7,8,8,8,9,11,14,23,24,24,24,379,0,7,7.117290353615361,2.9223749988886993,65.39629199687624,68.51451187335093
1709312937,64,,Aggregated,16.800000,0.000000,7,8,8,8,9,11,14,23,24,24,24,379,0,7,7.117290353615361,2.9223749988886993,65.39629199687624,68.51451187335093
1709312938,66,POST,//query,17.500000,0.000000,7,8,8,8,10,14,17,23,24,24,24,400,0,7,7.252195112532718,2.9223749988886993,65.39629199687624,68.5225
