Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//query,175506,0,3,7.72022867640726,0.7952909982122947,183.96774999928311,68.01909336432942,225.8373230349799,0.0,3,5,6,7,15,37,55,68,120,150,180
,Aggregated,175506,0,3,7.72022867640726,0.7952909982122947,183.96774999928311,68.01909336432942,225.8373230349799,0.0,3,5,6,7,15,37,55,68,120,150,180
